	topic_hash	records
818	Metagenomics | Microbiology	180
317	Cell biology | Genetics	112
671	Genomics | Microbiology	98
625	Genetics | Genomics	96
636	Genetics | Microbiology	94
321	Cell biology | Immunology	92
662	Genetics | Transcriptomics	92
631	Genetics | Immunology	90
773	Infectious disease | Public health and epidemiology	90
0		87
638	Genetics | Molecular biology	84
588	Gastroenterology | Microbiology	82
958	Public health and epidemiology	79
341	Cell biology | Transcriptomics	78
728	Immunology | Infectious disease	76
769	Infectious disease | Microbiology	74
955	Psychiatry | Public health and epidemiology	68
757	Immunology | Transcriptomics	54
734	Immunology | Microbiology	52
735	Immunology | Molecular biology	52
742	Immunology | Oncology	50
132	Biodiversity | Biomarkers | Comparative genomics | DNA | DNA binding sites | DNA mutation | DNA packaging | DNA polymorphism | DNA replication and recombination | Data acquisition | Data architecture, analysis and design | Data governance | Data identity and mapping | Data integration and warehousing | Data management | Data mining | Data quality management | Data rescue | Data security | Data submission, annotation, and curation | Data visualisation | Database management | Electrocardiography | Evolutionary biology | Freshwater biology | Gene expression | Gene regulation | Gene structure | Gene transcripts | Genetic engineering | Genetic variation | Genetics | Genomics | Geriatric medicine | Human genetics | Immunology | Molecular biology | Molecular dynamics | Molecular evolution | Oncology | Pathology | Pharmacology | Population genetics | RNA | Sample collections	45
534	Environmental sciences | Microbiology	42
457	Developmental biology | Genetics	36
472	Developmental biology | Transcriptomics	34
186	Biology | Genetics	34
602	Gene expression | Immunology	34
867	Neurobiology	32
824	Microbiology | Molecular biology	32
538	Environmental sciences | Public health and epidemiology	30
645	Genetics | Oncology	30
311	Cell biology | Developmental biology	30
624	Genetics	28
392	DNA | DNA mutation | DNA packaging | DNA polymorphism | Gene expression | Gene regulation | Gene structure | Genetic engineering | Genetic variation | Genetics | Genomics | Genotype and phenotype | Human genetics | Model organisms | Molecular biology | Molecular evolution | Molecular genetics | Molecular interactions, pathways and networks | Molecular medicine | Molecular modelling | Nucleic acid sites, features and motifs | Nucleic acid structure analysis | Nucleic acids | Proteomics | Sequence analysis | Sequence composition, complexity and repeats | Sequence sites, features and motifs	27
295	Cardiology | Physiology	26
943	Population genetics | Public health and epidemiology	26
753	Immunology | Respiratory medicine	24
731	Immunology | Medicine	24
695	Geriatric medicine | Public health and epidemiology	24
863	Musculoskeletal medicine | Surgery	24
180	Biology | Data architecture, analysis and design | Data governance | Data integration and warehousing | Data management | Data mining | Data quality management | Data security | Data submission, annotation, and curation | Data visualisation | Endocrinology and metabolism | Genetics | Immunology | Infectious disease | Medicine | Model organisms | Molecular biology | Molecular genetics | Oncology | Pathology | Preclinical and clinical studies | Public health and epidemiology	22
176	Biology | Cell biology	22
159	Bioinformatics | Genetics	22
899	Nutritional science | Public health and epidemiology	22
92	Biobank | Biomarkers | DNA | Endocrinology and metabolism | Gene expression | Genetic variation | Genomics | Infectious disease | Metabolomics | Molecular biology | Molecular genetics | Nutritional science | Omics | Oncology | Pathology | Personalised medicine | Pharmacology | Sample collections | Sequence analysis | Transcriptomics | Virology	21
127	Biochemistry | Proteomics	20
189	Biology | Immunology	20
48	Anatomy | Medicine	20
299	Cardiology | Public health and epidemiology	20
35	Anatomy | Biomedical science	20
653	Genetics | Psychiatry	20
37	Anatomy | Cell biology	20
633	Genetics | Medicine	20
318	Cell biology | Genomics	20
761	Immunology | Vaccinology	20
928	Pharmacology | Preclinical and clinical studies	18
905	Oncology | Public health and epidemiology	18
642	Genetics | Neurology	18
463	Developmental biology | Neurobiology	18
808	Medicine | Public health and epidemiology	18
